run_time,model_name,search_type,grid_version,param_classifier__C,mean_train_score,mean_test_score,std_test_score,rank_test_score,best_params,notes
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.01,4,scale,0.522300877734004,0.497105152167866,0.002508652298859087,40,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.01,4,auto,0.522300877734004,0.497105152167866,0.002508652298859087,40,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.01,4,0.001,0.5,0.5,0.0,21,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.01,4,0.01,0.5227781198606376,0.4929540312404821,0.013896427463678147,50,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.01,4,0.1,0.973586444549665,0.48369879521358294,0.02413375188638945,60,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.1,1,scale,0.5598801280037397,0.4909191623356464,0.03534944447365466,51,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.1,1,auto,0.5598801280037397,0.4909191623356464,0.03534944447365466,51,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.1,1,0.001,0.5,0.5,0.0,21,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.1,1,0.01,0.5327920063282202,0.48522677375637757,0.012950385892860888,57,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.1,1,0.1,0.6098956457921854,0.4895900557951003,0.01821352062048162,53,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.1,2,scale,0.5753603561838649,0.49561928439191333,0.018255446812585552,46,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.1,2,auto,0.5753603561838649,0.49561928439191333,0.018255446812585552,46,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.1,2,0.001,0.5,0.5,0.0,21,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.1,2,0.01,0.5108778071356146,0.49962554164209716,0.004690499373979619,37,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.1,2,0.1,0.7969106622887975,0.5033379428921133,0.011099178433293926,15,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.1,3,scale,0.5634809954759188,0.4999305848570487,0.00017360252484854705,34,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.1,3,auto,0.5634809954759188,0.4999305848570487,0.00017360252484854705,34,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.1,3,0.001,0.5,0.5,0.0,21,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.1,3,0.01,0.5261398263672277,0.49691491810192073,0.005208544642015928,42,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.1,3,0.1,0.9876348727490685,0.5217664078160441,0.0026262921272568115,2,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.1,4,scale,0.6354790014145034,0.5033413189493742,0.004251309657103926,13,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.1,4,auto,0.6354790014145034,0.5033413189493742,0.004251309657103926,13,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.1,4,0.001,0.5,0.5,0.0,21,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.1,4,0.01,0.5195549596899282,0.49886562501091647,0.0014910112425117817,39,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.1,4,0.1,1.0,0.5128437488271181,0.01955739942303836,6,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,1.0,1,scale,0.6153225913201771,0.507053140953856,0.024853958378993683,8,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,1.0,1,auto,0.6153225913201771,0.507053140953856,0.024853958378993683,8,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,1.0,1,0.001,0.5327920063282202,0.48522677375637757,0.012950385892860888,57,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
