Date,count,mean,std,min,25%,50%,75%,max
2018,250.0,0.5,0.5010030100351265,0.0,0.0,0.5,1.0,1.0
2019,252.0,0.5833333333333334,0.4939877573204321,0.0,0.0,1.0,1.0,1.0
2020,253.0,0.5691699604743083,0.49617395539737974,0.0,0.0,1.0,1.0,1.0
2021,252.0,0.5515873015873016,0.49832134578282833,0.0,0.0,1.0,1.0,1.0
2022,251.0,0.4701195219123506,0.5001035749296044,0.0,0.0,0.0,1.0,1.0
2023,250.0,0.564,0.49688184336425517,0.0,0.0,1.0,1.0,1.0
2024,252.0,0.5357142857142857,0.4997153429885987,0.0,0.0,1.0,1.0,1.0
2025,248.0,0.5403225806451613,0.4993792672963698,0.0,0.0,1.0,1.0,1.0
