Metric                         Close PC                       Open PC                        High PC                        Low PC                         Close                          Open                           High                           Low                            Volume                         Daily Range                    Close PC Lag 1                 Close PC Lag 3                 Close PC Lag 7                 Close PC Lag 14                Open PC Lag 1                  Open PC Lag 3                  Open PC Lag 7                  Open PC Lag 14                 High PC Lag 1                  High PC Lag 3                  High PC Lag 7                  High PC Lag 14                 Low PC Lag 1                   Low PC Lag 3                   Low PC Lag 7                   Low PC Lag 14                  Close EMA 7                    Close EMA 14                   Close EMA 28                   Close VOL 7                    Close VOL 14                   Close VOL 28                   Open EMA 7                     Open EMA 14                    Open EMA 28                    Open VOL 7                     Open VOL 14                    Open VOL 28                    High EMA 7                     High EMA 14                    High EMA 28                    High VOL 7                     High VOL 14                    High VOL 28                    Low EMA 7                      Low EMA 14                     Low EMA 28                     Low VOL 7                      Low VOL 14                     Low VOL 28                     Channel Position Close 21      Channel Position Open 7        Channel Position Open 21       Channel Position High 7        Channel Position High 21       Channel Position Low 7         Channel Position Low 21        Rolling VWAP 7                 Rolling VWAP 14                Rolling VWAP 21                Close Z-Score 7                Open Z-Score 7                 High Z-Score 7                 Low Z-Score 7                  Close Z-Score 14               Open Z-Score 14                High Z-Score 14                Low Z-Score 14                 Close Z-Score 28               Open Z-Score 28                High Z-Score 28                Low Z-Score 28                 Open PC Forward Lag            Open Forward Lag               Open PC Lag 1 Forward Lag      Open PC Lag 3 Forward Lag      Open PC Lag 7 Forward Lag      Open PC Lag 14 Forward Lag     Open EMA 7 Forward Lag         Open EMA 14 Forward Lag        Open EMA 28 Forward Lag        Open VOL 7 Forward Lag         Open VOL 14 Forward Lag        Open VOL 28 Forward Lag        Open Z-Score 7 Forward Lag     Open Z-Score 14 Forward Lag    Open Z-Score 28 Forward Lag   
Type                           Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                         Stocks                        
Ticker                         AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                           AAPL                          
Date                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2024-01-02                           NaN                            NaN                            NaN                            NaN                       183.903229                     185.399096                     186.677036                     182.169601                      82488700                       4.507435                           NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                       183.903229                     183.903229                     183.903229                           NaN                            NaN                            NaN                      185.399096                     185.399096                     185.399096                           NaN                            NaN                            NaN                      186.677036                     186.677036                     186.677036                           NaN                            NaN                            NaN                      182.169601                     182.169601                     182.169601                           NaN                            NaN                            NaN                      0.500000                       0.500000                       0.500000                       0.500000                       0.500000                       0.500000                       0.500000                              NaN                            NaN                            NaN                          NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                      -0.015656                       182.496496                          NaN                            NaN                            NaN                            NaN                       184.673446                     185.012083                     185.198917                           NaN                            NaN                            NaN                           NaN                            NaN                            NaN                     
2024-01-03                     -0.007488                      -0.015656                      -0.013585                      -0.002502                       182.526215                     182.496496                     184.140970                     181.713879                      58414500                       2.427091                           NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                       183.558975                     183.719627                     183.808262                           NaN                            NaN                            NaN                      184.673446                     185.012083                     185.198917                           NaN                            NaN                            NaN                      186.043020                     186.338894                     186.502135                           NaN                            NaN                            NaN                      182.055671                     182.108838                     182.138172                           NaN                            NaN                            NaN                      0.500000                       0.500000                       0.500000                       0.500000                       0.500000                       0.500000                       0.500000                              NaN                            NaN                            NaN                          NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                      -0.011236                       180.445875                    -0.015656                            NaN                            NaN                            NaN                       183.616554                     184.403255                     184.871121                           NaN                            NaN                            NaN                           NaN                            NaN                            NaN                     
2024-01-04                     -0.012700                      -0.011236                      -0.015010                      -0.013902                       180.208130                     180.445875                     181.377083                     179.187767                      71983600                       2.189316                     -0.007488                            NaN                            NaN                            NaN                      -0.015656                            NaN                            NaN                            NaN                      -0.013585                            NaN                            NaN                            NaN                      -0.002502                            NaN                            NaN                            NaN                       182.721264                     183.251427                     183.559977                           NaN                            NaN                            NaN                      183.616554                     184.403255                     184.871121                           NaN                            NaN                            NaN                      184.876535                     185.677319                     186.148683                           NaN                            NaN                            NaN                      181.338695                     181.719362                     181.934696                           NaN                            NaN                            NaN                      0.500000                       0.500000                       0.500000                       0.500000                       0.500000                       0.500000                       0.500000                              NaN                            NaN                            NaN                          NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                      -0.000878                       180.287390                    -0.011236                            NaN                            NaN                            NaN                       182.784263                     183.854473                     184.555002                           NaN                            NaN                            NaN                           NaN                            NaN                            NaN                     
2024-01-05                     -0.004013                      -0.000878                      -0.001802                      -0.003925                       179.484955                     180.287390                     181.050175                     178.484409                      62379700                       2.565766                     -0.012700                            NaN                            NaN                            NaN                      -0.011236                            NaN                            NaN                            NaN                      -0.015010                            NaN                            NaN                            NaN                      -0.013902                            NaN                            NaN                            NaN                       181.912187                     182.749231                     183.278941                           NaN                            NaN                            NaN                      182.784263                     183.854473                     184.555002                           NaN                            NaN                            NaN                      183.919945                     185.060367                     185.797062                           NaN                            NaN                            NaN                      180.625123                     181.288035                     181.696745                           NaN                            NaN                            NaN                      0.500000                       0.500000                       0.500000                       0.500000                       0.500000                       0.500000                       0.500000                              NaN                            NaN                            NaN                          NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                       0.000549                       180.386437                    -0.000878                      -0.015656                            NaN                            NaN                       182.184806                     183.392068                     184.267514                           NaN                            NaN                            NaN                           NaN                            NaN                            NaN                     
2024-01-08                      0.024175                       0.000549                       0.015540                       0.007382                       183.823975                     180.386437                     183.863609                     179.801961                      59144500                       4.061648                     -0.004013                      -0.007488                            NaN                            NaN                      -0.000878                      -0.015656                            NaN                            NaN                      -0.001802                      -0.013585                            NaN                            NaN                      -0.003925                      -0.002502                            NaN                            NaN                       182.390134                     182.892530                     183.316530                           NaN                            NaN                            NaN                      182.184806                     183.392068                     184.267514                           NaN                            NaN                            NaN                      183.905861                     184.900799                     185.663720                           NaN                            NaN                            NaN                      180.419333                     181.089892                     181.566070                           NaN                            NaN                            NaN                      0.500000                       0.500000                       0.500000                       0.500000                       0.500000                       0.500000                       0.500000                              NaN                            NaN                            NaN                          NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                       0.010050                       182.199311                     0.000549                      -0.011236                            NaN                            NaN                       182.188432                     183.233034                     184.124880                           NaN                            NaN                            NaN                           NaN                            NaN                            NaN                     
2024-01-09                     -0.002263                       0.010050                      -0.002425                       0.006777                       183.407898                     182.199311                     183.417799                     181.020441                      42841800                       2.397358                      0.024175                      -0.012700                            NaN                            NaN                       0.000549                      -0.011236                            NaN                            NaN                       0.015540                      -0.015010                            NaN                            NaN                       0.007382                      -0.013902                            NaN                            NaN                       182.644575                     182.961246                     183.322831                           NaN                            NaN                            NaN                      182.188432                     183.233034                     184.124880                           NaN                            NaN                            NaN                      183.783846                     184.703066                     185.508829                           NaN                            NaN                            NaN                      180.569610                     181.080632                     181.528441                           NaN                            NaN                            NaN                      0.500000                       0.500000                       0.500000                       0.500000                       0.500000                       0.500000                       0.500000                              NaN                            NaN                            NaN                          NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                       0.002338                       182.625323                     0.010050                      -0.000878                            NaN                            NaN                       182.297655                     183.152006                     184.021462                      1.833911                            NaN                            NaN                      0.178672                            NaN                            NaN                     
2024-01-10                      0.005672                       0.002338                       0.006751                       0.006513                       184.448105                     182.625323                     184.656132                     182.199338                      46792900                       2.456794                     -0.002263                      -0.004013                            NaN                            NaN                       0.010050                      -0.000878                            NaN                            NaN                      -0.002425                      -0.001802                            NaN                            NaN                       0.006777                      -0.003925                            NaN                            NaN                       183.095457                     183.159494                     183.400436                      1.943885                            NaN                            NaN                      182.297655                     183.152006                     184.021462                      1.833911                            NaN                            NaN                      184.001917                     184.696808                     185.450022                      1.933125                            NaN                            NaN                      180.977042                     181.229792                     181.574709                      1.501425                            NaN                            NaN                      0.500000                       0.505444                       0.500000                       0.753326                       0.500000                       0.453448                       0.500000                       182.235460                            NaN                            NaN                     0.695848                       0.178672                       0.338423                       0.814090                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                            NaN                       0.011879                       184.794808                     0.002338                       0.000549                            NaN                            NaN                       182.921943                     183.371046                     184.074796                      1.651094                            NaN                            NaN                      1.134317                            NaN                            NaN                     
