Sector,Basic Materials,Basic Materials,Basic Materials,Basic Materials,Basic Materials,Basic Materials,Basic Materials,Basic Materials,Communication Services,Communication Services,Communication Services,Communication Services,Communication Services,Communication Services,Communication Services,Communication Services,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Defensive,Consumer Defensive,Consumer Defensive,Consumer Defensive,Consumer Defensive,Consumer Defensive,Consumer Defensive,Consumer Defensive,Energy,Energy,Energy,Energy,Energy,Energy,Energy,Energy,Financial Services,Financial Services,Financial Services,Financial Services,Financial Services,Financial Services,Financial Services,Financial Services,Healthcare,Healthcare,Healthcare,Healthcare,Healthcare,Healthcare,Healthcare,Healthcare,Industrials,Industrials,Industrials,Industrials,Industrials,Industrials,Industrials,Industrials,Real Estate,Real Estate,Real Estate,Real Estate,Real Estate,Real Estate,Real Estate,Real Estate,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,250.0,-0.0005592260842176107,0.011960990834454451,-0.03765087164408744,-0.007195309215909793,-0.00033000408931699006,0.006419982603920508,0.044429867268012915,250.0,0.0003279107040021321,0.012892772613526329,-0.04938107899140903,-0.004927177997092025,0.0006712948154367468,0.008223186966036054,0.05117079886226165,250.0,-1.0566700664861261e-05,0.010906204564501011,-0.0379256604667038,-0.005552562789604703,0.00024986734736701045,0.005888566097284431,0.05130620929260613,250.0,-0.0001773494391259262,0.008898919166226264,-0.02791504646953677,-0.0044500838732540295,0.00011029712431617369,0.004931231685144447,0.030738041533602767,250.0,-0.0008017688631785698,0.014297988091981056,-0.04306989976852985,-0.008306633724797972,0.0005319646286903946,0.007726470660927298,0.06675736637202977,250.0,-0.0003390110788207534,0.011248100123264826,-0.042632875432208374,-0.005767190008764678,8.174589074983735e-05,0.005971912759737888,0.04536348387787653,250.0,0.0003452501033880358,0.011357652871387082,-0.040865516948162386,-0.0050682041088517815,0.0017026589569172513,0.006700519245179625,0.0478739310290175,250.0,-0.00035932129258824574,0.011721146266162281,-0.04622673414891557,-0.006700722051952853,0.0010717179704269435,0.006798971016424992,0.046736929730743004,250.0,1.1705299759736929e-05,0.0101263037425746,-0.03751965829182457,-0.005145816193957222,0.00032617019390212393,0.006210918297846807,0.034565720642654243,250.0,0.0002458139900994135,0.014095550970368147,-0.04624765389995282,-0.006726747950942974,0.0010259513465300236,0.008614481882585557,0.05228283386313258,250.0,0.000347481102344399,0.009543556185349274,-0.041504180482200816,-0.0053493903834144554,0.0006321501262037991,0.006427107104106666,0.027429569777196246
2019,252.0,0.0009546896928775813,0.010366281730293397,-0.0320773732861053,-0.0044165001388082525,0.001569011573800994,0.007362811495162392,0.044738544166423234,252.0,0.0013158662548527849,0.009660548269804333,-0.03242833470233059,-0.004357269297216155,0.0016721596144305315,0.007401515817050734,0.04332871952543478,252.0,0.0013142103790992996,0.008631392147197811,-0.03191452120212335,-0.0037228569419243598,0.0017029897510344614,0.006708740120849958,0.0318691943877093,252.0,0.001054457355752448,0.00646808631981031,-0.023098952095603736,-0.0025913815313303636,0.0011926228467657863,0.004977297159407044,0.019262144737927166,252.0,0.0005380088141398996,0.014292249080706795,-0.045162245672779454,-0.008738228747579459,0.0006142770621010218,0.009387156650459126,0.04662776613230413,252.0,0.0013119086995358664,0.009167983639736463,-0.03423289488054036,-0.003185320296036779,0.002330492537661524,0.0063834363420959,0.03448588636407973,252.0,0.001101319984881495,0.009438073527890537,-0.03565195304195838,-0.003663171413429043,0.0014750700992611425,0.007651135916171012,0.03319870514276614,252.0,0.001390228640881978,0.010010982716399464,-0.030012892770256004,-0.003830676124916937,0.0012931342349483323,0.007836977295301214,0.038613870147203876,252.0,0.0011088315562825563,0.007669105890433043,-0.023090647279962042,-0.003425524556087669,0.001989912947070376,0.006207624797058343,0.023750051023768134,252.0,0.0016157103702052274,0.011752459937121177,-0.041520647648318934,-0.004903936564639366,0.0017713644753094833,0.008311096395637398,0.04131368123731237,252.0,0.0009405102459024519,0.008025584157936258,-0.03118344601326893,-0.0031824382859377905,0.0011423490583405101,0.005700608520033873,0.02953670812871442
2020,253.0,0.0012079113912863823,0.027153818785779757,-0.1275178965958998,-0.008915310602074296,0.0010900345197893586,0.015123719612449509,0.1370666931224368,253.0,0.0013776640622094295,0.020987655621073308,-0.10499961360700545,-0.007317789932517289,0.0032810090221592203,0.011358326456020624,0.08855740085645625,253.0,0.0015308730585470074,0.027949317056421806,-0.15120909104590027,-0.008240021012245018,0.002178903948269991,0.012025989079598511,0.1587494471206546,253.0,0.0007426700842876887,0.01694692720085345,-0.0943711338089225,-0.005304855487292188,0.0012815768296073069,0.006860597701784792,0.08181671701029788,253.0,1.1310433810066584e-05,0.042467403084175494,-0.24944650656498302,-0.017528228127845675,-0.0039213707687032265,0.019792329638433977,0.1689952095077145,253.0,0.0007898487000710984,0.028959884845880964,-0.14268085917770892,-0.00946447528501877,0.0013082197110090793,0.012898206626626198,0.12913769022588836,253.0,0.0011246352512229462,0.02036435024774828,-0.11084950861084053,-0.006289989419724253,0.0009258065924372374,0.009454761079509946,0.08335490625697689,253.0,0.0011541792039907435,0.025189149181881684,-0.11712606365244058,-0.008221343442334382,0.0018868580612419641,0.01229156176208223,0.12704006620568165,253.0,0.0004637777854502214,0.028200342539314256,-0.1808554524263408,-0.010877414897732125,0.0005204991028814977,0.010810062002571182,0.0923156281474503,253.0,0.0017039851382567766,0.024767614459692614,-0.13422264295015804,-0.005897059210836237,0.002457267320951499,0.01270854783682182,0.1109605477706855,253.0,0.0002778203509711252,0.02462974546652762,-0.12380390051753497,-0.008938892991897747,0.0011241650549997336,0.008461520693031237,0.1159283115613286
2021,252.0,0.0015596247941429997,0.012954780454434114,-0.028636399833854895,-0.0062443803813848845,0.0013837505611106007,0.010392750523069885,0.05264642960720868,252.0,0.0005008476656587749,0.009882820312639536,-0.03222952875562512,-0.0058124289264581425,0.0007735764045101008,0.0066461020152373896,0.031440635155002186,252.0,0.001075797471575124,0.011058965921293209,-0.03527599457099381,-0.005415436067318291,0.0016405587942727533,0.00904776397788316,0.032860120337006214,252.0,0.0006518426736522688,0.007117452724455882,-0.02844428426629291,-0.003462015545880749,0.0006924845268769972,0.005226040309545668,0.02200148578086308,252.0,0.0021892487028858224,0.02087680254620954,-0.05359444509961008,-0.011739465447430602,0.0005709365918382088,0.015365234266686862,0.05216271478432805,252.0,0.0013025712911004994,0.01141780935926409,-0.033393491155887106,-0.00611271104552941,0.0017638916960011916,0.00827592099566125,0.04136929284319778,252.0,0.001011840882317543,0.007936479124818634,-0.03247290997200249,-0.0035801764833591557,0.0007536558500485892,0.006395287166632826,0.02160514198513543,252.0,0.0010717348964440687,0.010400982649980274,-0.02808210647205647,-0.0050066155222591845,0.001483644460660882,0.007193202567014389,0.02971918560944769,252.0,0.0016243042798217708,0.009732409602265983,-0.035364639327291975,-0.00417026662313995,0.002422845409753695,0.008394023187134904,0.03263644857970072,252.0,0.0012790753189175915,0.0119324231897855,-0.035096460830280056,-0.0053926697983005195,0.001229063812902788,0.008466811178253725,0.036395436519694825,252.0,0.0006908954498837178,0.009439217844431592,-0.029547100345985396,-0.0054351293631876565,0.0009287329302907525,0.0068037017197774465,0.021471338944725762
2022,251.0,-5.765177614895141e-05,0.017227123580387072,-0.03947814642882217,-0.011657995221185559,-0.0017401933437164946,0.01052978692127975,0.06278981376072539,251.0,-0.0011972445684686002,0.019003778928553455,-0.047805042424400146,-0.014706916539754073,-0.00214079102668712,0.012962624025554235,0.06378873029811467,251.0,-0.0007199674052102761,0.01988791074206172,-0.05616220063442239,-0.014478817586936674,-0.0014660373624148786,0.012838210527389253,0.07227375034977959,251.0,0.00020260620839102826,0.010978582512904763,-0.07248305553543218,-0.005408873086142655,0.0010061965498163643,0.007169091054390526,0.03399425651625956,251.0,0.0022190667960837298,0.023563459630775496,-0.08853243436448739,-0.012705676597659327,0.0035870985230561383,0.018871765889726062,0.054925038926154426,251.0,-0.00014773075725989408,0.01586056193134246,-0.03886050729281642,-0.00916996752323818,-0.001031836069738971,0.009700799047524775,0.05481158934488114,251.0,-0.00010568007898411687,0.013777756388063663,-0.0454224263549349,-0.009143539111627914,-0.0011012607440630399,0.009707722029601493,0.04115677444713401,251.0,-0.00020338194013484214,0.015239683580520967,-0.042471749806110744,-0.010008843921173856,-0.001205850613860421,0.009458486948660492,0.05621278358343722,251.0,-0.0009067504512867172,0.015539307030699197,-0.05065523590350654,-0.010824241991995422,-0.001830946377138668,0.009243783164371302,0.07312496837285437,251.0,-0.0007498348461752558,0.02040649067422453,-0.04891799892056217,-0.014509141966198432,-0.002170124230507855,0.013183625351084416,0.07897314664891589,251.0,0.00021785788850059977,0.013374318662833787,-0.048159740889939934,-0.008625865554441906,0.00044305354035167145,0.008113032970029927,0.046209254331285754
2023,250.0,0.000676964719791471,0.01143314476392345,-0.03627144476519426,-0.006505479443245223,0.0009978021658443117,0.008570168875333403,0.0365795934583105,250.0,0.0012546220776330616,0.011728617216504814,-0.032433860534967954,-0.005672552552053359,0.0006397548051357071,0.008486363279030937,0.04139187560684887,250.0,0.00144125862546846,0.010864761729335452,-0.0264962559750484,-0.005637963500980774,0.0011821652648226592,0.008132368780103531,0.038310496115983236,250.0,-0.0001240199672777057,0.007405903801322631,-0.028876427478328248,-0.005299888652809295,0.0005740859542576542,0.0044001625514619915,0.02398131010295422,250.0,0.0002615385494902721,0.014858709998023295,-0.05626845326111564,-0.009799106708135177,0.000873819064265974,0.009895118346189976,0.040014033361768266,250.0,0.0006971191672688834,0.011345693291051253,-0.04088445921973045,-0.005487324787663899,0.0008634962801311614,0.007952191823938934,0.032336445621099434,250.0,0.00027958892799758323,0.008099919065371377,-0.018818524784861176,-0.005467998168302012,0.0007888061105559695,0.006255203666301665,0.02522127970121558,250.0,0.00108957832558336,0.010246839957896645,-0.030681330793166903,-0.00526196271150104,0.0012966192204193281,0.00765327243425754,0.03180043589647207,250.0,0.0005606623145062172,0.012959722238323791,-0.03722170657909297,-0.00699333576883511,0.00010090777356665114,0.0071504754705200724,0.05599855884279741,250.0,0.001554409215454176,0.011564855303281267,-0.026547850816667936,-0.006520157242579195,0.0016151269783591946,0.010172980554791395,0.03135303220090593,250.0,-2.9455178962786043e-05,0.011054004068818383,-0.043108437080353744,-0.0063660973990774085,0.00032848960154228853,0.007301222354526625,0.04027281809936925
2024,252.0,-6.712221826453991e-06,0.009782814334219068,-0.03066415551906296,-0.007157919864388268,0.00017912617098996152,0.006709416633987226,0.024163126909636685,252.0,0.000925469259968344,0.00863477831673222,-0.026728646352019023,-0.004144200625968673,0.0011285872865388993,0.007048433199438263,0.028986156482781206,252.0,0.000918569590685735,0.009429759760910724,-0.03313203882560346,-0.004840707441955191,0.0006181964808619038,0.007594050106407506,0.02576192294290448,252.0,1.0698516463727038e-05,0.006934467088710879,-0.019211979507781144,-0.004211771024748052,-0.0002646305799010088,0.004862535756240071,0.021885554225383023,252.0,0.0004926043439317583,0.012035106712676033,-0.038227083938728486,-0.006103324131577163,0.001745364624335946,0.0077876001225874155,0.04980337877972095,252.0,0.0011402019641244326,0.009204296388368786,-0.033179241010664336,-0.004595198212906966,0.0019279084191776259,0.006638871574425945,0.059490755102903047,252.0,7.842327302019557e-05,0.007489726014828112,-0.025224827920336954,-0.00431314252169133,-2.8727548656025415e-05,0.005005177217451555,0.021592406829828076,252.0,0.0007782125132522442,0.009298123931688688,-0.03071582211055971,-0.005014190104755293,0.0005219447664277084,0.006761668552247857,0.038066876944365606,252.0,0.0003961833012232552,0.01012738733365466,-0.04002099311036584,-0.0055506463317798035,0.000656350742236164,0.007282360112789018,0.026260035428699917,252.0,0.0008062165019823834,0.011750495603061108,-0.034615818772577946,-0.005706645079888485,0.0015078788839804284,0.00855513049522115,0.033757268550939495,252.0,0.0009126397263820488,0.009317080605532645,-0.02943651194218957,-0.004584240562179076,0.0010114258323247565,0.006769815307500054,0.028545341799804856
2025,248.0,0.0008707183662621712,0.013932352229833845,-0.07016350757290006,-0.006757088020280932,0.0011030858011532307,0.008116117581302812,0.09758656594964399,248.0,0.0006650836926096639,0.011730961599153667,-0.05955428441951221,-0.004574397865601865,0.001331239700369672,0.006626833104595756,0.08685636040907843,248.0,0.0006127782981208004,0.01385876365513996,-0.06728827022685266,-0.006449912389554981,0.0005128918289692985,0.006975826568144789,0.09668962466895191,248.0,2.056685002779951e-05,0.009815893404327862,-0.03804709667742591,-0.006034739231417088,0.00012324168208032013,0.0064580874833432824,0.04106001163937809,248.0,0.0004389296937720952,0.017730402816905213,-0.09887745905889055,-0.007577540942299297,0.0019271098872706309,0.010013480483783706,0.09924449795054861,248.0,0.0006957784576895855,0.012661197761186696,-0.07041113789756309,-0.004028458191102967,0.0010337054323467402,0.007249991352257954,0.0825621723366199,248.0,0.0005488376547786024,0.011483724508275362,-0.0503129074487906,-0.0059863263569987744,-2.9506018431973102e-05,0.007125052434836243,0.05454148499281975,248.0,0.0007318572217193787,0.012910737309024256,-0.06263660399599255,-0.006329336773036983,0.0005097824881813751,0.0074656520269000826,0.09425234209873433,248.0,1.2782597522852803e-05,0.011259366497915169,-0.04869174650983687,-0.005282513904174655,0.0007326574823328406,0.0061107797076370785,0.06233545471492299,248.0,0.0008495033831483452,0.016042656615949533,-0.07384047742820483,-0.005747034593989551,0.001651256801909496,0.009585002624959583,0.12325570401892937,248.0,0.0006884055822378145,0.009783109820355945,-0.05410905174921011,-0.005525172159988768,0.0017567204297349315,0.0061987313266478675,0.035046300021394784
